Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM	Total_RNA_Reads
1003-01_15	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	23215674
1003-01_15	Consensus_4	0	0	0	0	764	0	0	0	0	23215674
1003-01_15	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	23215674
1003-01_15	Consensus_5	0	0	0	0	728	0	0	0	0	23215674
1003-01_15	Consensus_6	0	0	0	0	745	0	0	0	0	23215674
1003-01_15	Consensus_7	0	0	0	0	716	0	0	0	0	23215674
1003-01_15	Consensus_8	0	0	0	0	700	0	0	0	0	23215674
1003-01_15	Consensus_9	0	0	0	0	825	0	0	0	0	23215674
1003-01_15	Consensus_10	0	0	0	0	796	0	0	0	0	23215674
1003-01_16	Consensus_1	0	0	0	0	691	0	0	0	0	23054772
1003-01_16	Consensus_2	54.275	54.365078	560	1152.9689	710	215	0.3028169	1408450.6	1000000	23054772
1003-01_16	Consensus_3	0	0	0	0	744	0	0	0	0	23054772
1003-01_16	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	23054772
1003-01_16	Consensus_4	0	0	0	0	764	0	0	0	0	23054772
1003-01_16	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	23054772
1003-01_16	Consensus_5	0	0	0	0	728	0	0	0	0	23054772
1003-01_16	Consensus_6	0	0	0	0	745	0	0	0	0	23054772
1003-01_16	Consensus_7	0	0	0	0	716	0	0	0	0	23054772
1003-01_16	Consensus_8	0	0	0	0	700	0	0	0	0	23054772
1003-01_16	Consensus_9	0	0	0	0	825	0	0	0	0	23054772
1003-01_16	Consensus_10	0	0	0	0	796	0	0	0	0	23054772
1003-01_17	Consensus_1	0	0	0	0	691	0	0	0	0	15333280
1003-01_17	Consensus_2	18.821428	18.505953	566	160.01814	710	74	0.10422535	1408450.8	1000000	15333280
1003-01_17	Consensus_3	0	0	0	0	744	0	0	0	0	15333280
1003-01_17	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	15333280
1003-01_17	Consensus_4	0	0	0	0	764	0	0	0	0	15333280
1003-01_17	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	15333280
1003-01_17	Consensus_5	0	0	0	0	728	0	0	0	0	15333280
1003-01_17	Consensus_6	0	0	0	0	745	0	0	0	0	15333280
1003-01_17	Consensus_7	0	0	0	0	716	0	0	0	0	15333280
1003-01_17	Consensus_8	0	0	0	0	700	0	0	0	0	15333280
1003-01_17	Consensus_9	0	0	0	0	825	0	0	0	0	15333280
1003-01_17	Consensus_10	0	0	0	0	796	0	0	0	0	15333280
1003-01_18	Consensus_1	0	0	0	0	691	0	0	0	0	23500778
1003-01_18	Consensus_2	19.117857	19.404762	538	140.68378	710	76	0.10704225	1408450.8	1000000	23500778
1003-01_18	Consensus_3	0	0	0	0	744	0	0	0	0	23500778
1003-01_18	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	23500778
1003-01_18	Consensus_4	0	0	0	0	764	0	0	0	0	23500778
1003-01_18	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	23500778
1003-01_18	Consensus_5	0	0	0	0	728	0	0	0	0	23500778
1003-01_18	Consensus_6	0	0	0	0	745	0	0	0	0	23500778
1003-01_18	Consensus_7	0	0	0	0	716	0	0	0	0	23500778
1003-01_18	Consensus_8	0	0	0	0	700	0	0	0	0	23500778
1003-01_18	Consensus_9	0	0	0	0	825	0	0	0	0	23500778
1003-01_18	Consensus_10	0	0	0	0	796	0	0	0	0	23500778
1003-01_19	Consensus_1	0	0	0	0	691	0	0	0	0	14980002
1003-01_19	Consensus_2	1.8267857	1.7619047	403	2.755274	710	7	0.009859155	1408450.8	1000000	14980002
1003-01_19	Consensus_3	0	0	0	0	744	0	0	0	0	14980002
1003-01_19	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	14980002
1003-01_19	Consensus_4	0	0	0	0	764	0	0	0	0	14980002
1003-01_19	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	14980002
1003-01_19	Consensus_5	0	0	0	0	728	0	0	0	0	14980002
1003-01_19	Consensus_6	0	0	0	0	745	0	0	0	0	14980002
1003-01_19	Consensus_7	0	0	0	0	716	0	0	0	0	14980002
1003-01_19	Consensus_8	0	0	0	0	700	0	0	0	0	14980002
1003-01_19	Consensus_9	0	0	0	0	825	0	0	0	0	14980002
1003-01_19	Consensus_10	0	0	0	0	796	0	0	0	0	14980002
1003-01_2	Consensus_1	0	0	0	0	691	0	0	0	0	2326992
1003-01_2	Consensus_2	0	0	0	0	710	0	0	0	0	2326992
1003-01_2	Consensus_3	0	0	0	0	744	0	0	0	0	2326992
1003-01_2	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	2326992
1003-01_2	Consensus_4	0	0	0	0	764	0	0	0	0	2326992
1003-01_2	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	2326992
1003-01_2	Consensus_5	0	0	0	0	728	0	0	0	0	2326992
1003-01_2	Consensus_6	0	0	0	0	745	0	0	0	0	2326992
1003-01_2	Consensus_7	0	0	0	0	716	0	0	0	0	2326992
1003-01_2	Consensus_8	0	0	0	0	700	0	0	0	0	2326992
1003-01_2	Consensus_9	0	0	0	0	825	0	0	0	0	2326992
1003-01_2	Consensus_10	0	0	0	0	796	0	0	0	0	2326992
1003-01_20	Consensus_1	0	0	0	0	691	0	0	0	0	20414610
1003-01_20	Consensus_2	10.8089285	10.900794	550	52.959854	710	43	0.06056338	1408450.8	1000000	20414610
1003-01_20	Consensus_3	0	0	0	0	744	0	0	0	0	20414610
1003-01_20	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	20414610
1003-01_20	Consensus_4	0	0	0	0	764	0	0	0	0	20414610
1003-01_20	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	20414610
1003-01_20	Consensus_5	0	0	0	0	728	0	0	0	0	20414610
1003-01_20	Consensus_6	0	0	0	0	745	0	0	0	0	20414610
1003-01_20	Consensus_7	0	0	0	0	716	0	0	0	0	20414610
1003-01_20	Consensus_8	0	0	0	0	700	0	0	0	0	20414610
1003-01_20	Consensus_9	0	0	0	0	825	0	0	0	0	20414610
1003-01_20	Consensus_10	0	0	0	0	796	0	0	0	0	20414610
1003-01_21	Consensus_1	0	0	0	0	691	0	0	0	0	19238652
1003-01_21	Consensus_2	8.657143	8.523809	531	43.320522	710	33	0.046478875	1408450.6	1000000	19238652
1003-01_21	Consensus_3	0	0	0	0	744	0	0	0	0	19238652
1003-01_21	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	19238652
1003-01_21	Consensus_4	0	0	0	0	764	0	0	0	0	19238652
1003-01_21	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	19238652
1003-01_21	Consensus_5	0	0	0	0	728	0	0	0	0	19238652
1003-01_21	Consensus_6	0	0	0	0	745	0	0	0	0	19238652
1003-01_21	Consensus_7	0	0	0	0	716	0	0	0	0	19238652
1003-01_21	Consensus_8	0	0	0	0	700	0	0	0	0	19238652
1003-01_21	Consensus_9	0	0	0	0	825	0	0	0	0	19238652
1003-01_21	Consensus_10	0	0	0	0	796	0	0	0	0	19238652
1003-01_22	Consensus_1	0	0	0	0	691	0	0	0	0	17027190
1003-01_22	Consensus_2	2.1107142	2.077381	445	2.445681	710	8	0.011267605	1408450.8	1000000	17027190
1003-01_22	Consensus_3	0	0	0	0	744	0	0	0	0	17027190
1003-01_22	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	17027190
1003-01_22	Consensus_4	0	0	0	0	764	0	0	0	0	17027190
1003-01_22	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	17027190
1003-01_22	Consensus_5	0	0	0	0	728	0	0	0	0	17027190
1003-01_22	Consensus_6	0	0	0	0	745	0	0	0	0	17027190
1003-01_22	Consensus_7	0	0	0	0	716	0	0	0	0	17027190
1003-01_22	Consensus_8	0	0	0	0	700	0	0	0	0	17027190
1003-01_22	Consensus_9	0	0	0	0	825	0	0	0	0	17027190
1003-01_22	Consensus_10	0	0	0	0	796	0	0	0	0	17027190
1003-01_23	Consensus_1	0	0	0	0	691	0	0	0	0	11764778
1003-01_23	Consensus_2	1.7607143	1.6666666	327	4.3684	710	7	0.009859155	1408450.8	1000000	11764778
1003-01_23	Consensus_3	0	0	0	0	744	0	0	0	0	11764778
1003-01_23	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	11764778
1003-01_23	Consensus_4	0	0	0	0	764	0	0	0	0	11764778
1003-01_23	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	11764778
1003-01_23	Consensus_5	0	0	0	0	728	0	0	0	0	11764778
1003-01_23	Consensus_6	0	0	0	0	745	0	0	0	0	11764778
1003-01_23	Consensus_7	0	0	0	0	716	0	0	0	0	11764778
1003-01_23	Consensus_8	0	0	0	0	700	0	0	0	0	11764778
1003-01_23	Consensus_9	0	0	0	0	825	0	0	0	0	11764778
1003-01_23	Consensus_10	0	0	0	0	796	0	0	0	0	11764778
1003-01_24	Consensus_1	0	0	0	0	691	0	0	0	0	8813122
1003-01_24	Consensus_2	0.79642856	0.7242063	242	1.085497	710	3	0.004225352	1408450.6	1000000	8813122
1003-01_24	Consensus_3	0	0	0	0	744	0	0	0	0	8813122
1003-01_24	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	8813122
1003-01_24	Consensus_4	0	0	0	0	764	0	0	0	0	8813122
1003-01_24	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	8813122
1003-01_24	Consensus_5	0	0	0	0	728	0	0	0	0	8813122
1003-01_24	Consensus_6	0	0	0	0	745	0	0	0	0	8813122
1003-01_24	Consensus_7	0	0	0	0	716	0	0	0	0	8813122
1003-01_24	Consensus_8	0	0	0	0	700	0	0	0	0	8813122
1003-01_24	Consensus_9	0	0	0	0	825	0	0	0	0	8813122
1003-01_24	Consensus_10	0	0	0	0	796	0	0	0	0	8813122
1003-01_25	Consensus_1	0	0	0	0	691	0	0	0	0	17028816
1003-01_25	Consensus_2	0	0	0	0	710	0	0	0	0	17028816
1003-01_25	Consensus_3	0	0	0	0	744	0	0	0	0	17028816
1003-01_25	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	17028816
1003-01_25	Consensus_4	0	0	0	0	764	0	0	0	0	17028816
1003-01_25	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	17028816
1003-01_25	Consensus_5	0	0	0	0	728	0	0	0	0	17028816
1003-01_25	Consensus_6	0	0	0	0	745	0	0	0	0	17028816
1003-01_25	Consensus_7	0	0	0	0	716	0	0	0	0	17028816
1003-01_25	Consensus_8	0	0	0	0	700	0	0	0	0	17028816
1003-01_25	Consensus_9	0	0	0	0	825	0	0	0	0	17028816
1003-01_25	Consensus_10	0	0	0	0	796	0	0	0	0	17028816
1003-01_26	Consensus_1	0	0	0	0	691	0	0	0	0	9222222
1003-01_26	Consensus_2	0	0	0	0	710	0	0	0	0	9222222
1003-01_26	Consensus_3	0	0	0	0	744	0	0	0	0	9222222
1003-01_26	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	9222222
1003-01_26	Consensus_4	0	0	0	0	764	0	0	0	0	9222222
1003-01_26	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	9222222
1003-01_26	Consensus_5	0	0	0	0	728	0	0	0	0	9222222
1003-01_26	Consensus_6	0	0	0	0	745	0	0	0	0	9222222
1003-01_26	Consensus_7	0	0	0	0	716	0	0	0	0	9222222
1003-01_26	Consensus_8	0	0	0	0	700	0	0	0	0	9222222
1003-01_26	Consensus_9	0	0	0	0	825	0	0	0	0	9222222
1003-01_26	Consensus_10	0	0	0	0	796	0	0	0	0	9222222
1003-01_27	Consensus_1	0	0	0	0	691	0	0	0	0	19007254
1003-01_27	Consensus_2	0	0	0	0	710	0	0	0	0	19007254
1003-01_27	Consensus_3	0	0	0	0	744	0	0	0	0	19007254
1003-01_27	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	19007254
1003-01_27	Consensus_4	0	0	0	0	764	0	0	0	0	19007254
1003-01_27	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	19007254
1003-01_27	Consensus_5	0	0	0	0	728	0	0	0	0	19007254
1003-01_27	Consensus_6	0	0	0	0	745	0	0	0	0	19007254
1003-01_27	Consensus_7	0	0	0	0	716	0	0	0	0	19007254
1003-01_27	Consensus_8	0	0	0	0	700	0	0	0	0	19007254
1003-01_27	Consensus_9	0	0	0	0	825	0	0	0	0	19007254
1003-01_27	Consensus_10	0	0	0	0	796	0	0	0	0	19007254
1003-01_28	Consensus_1	0	0	0	0	691	0	0	0	0	18131086
1003-01_28	Consensus_2	0	0	0	0	710	0	0	0	0	18131086
1003-01_28	Consensus_3	0	0	0	0	744	0	0	0	0	18131086
1003-01_28	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	18131086
1003-01_28	Consensus_4	0	0	0	0	764	0	0	0	0	18131086
1003-01_28	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	18131086
1003-01_28	Consensus_5	0	0	0	0	728	0	0	0	0	18131086
1003-01_28	Consensus_6	0	0	0	0	745	0	0	0	0	18131086
1003-01_28	Consensus_7	0	0	0	0	716	0	0	0	0	18131086
1003-01_28	Consensus_8	0	0	0	0	700	0	0	0	0	18131086
1003-01_28	Consensus_9	0	0	0	0	825	0	0	0	0	18131086
1003-01_28	Consensus_10	0	0	0	0	796	0	0	0	0	18131086
1003-01_29	Consensus_1	0	0	0	0	691	0	0	0	0	20515414
1003-01_29	Consensus_2	0	0	0	0	710	0	0	0	0	20515414
1003-01_29	Consensus_3	0	0	0	0	744	0	0	0	0	20515414
1003-01_29	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	20515414
1003-01_29	Consensus_4	0	0	0	0	764	0	0	0	0	20515414
1003-01_29	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	20515414
1003-01_29	Consensus_5	0	0	0	0	728	0	0	0	0	20515414
1003-01_29	Consensus_6	0	0	0	0	745	0	0	0	0	20515414
1003-01_29	Consensus_7	0	0	0	0	716	0	0	0	0	20515414
1003-01_29	Consensus_8	0	0	0	0	700	0	0	0	0	20515414
1003-01_29	Consensus_9	0	0	0	0	825	0	0	0	0	20515414
1003-01_29	Consensus_10	0	0	0	0	796	0	0	0	0	20515414
1003-01_3	Consensus_1	0	0	0	0	691	0	0	0	0	25469840
1003-01_3	Consensus_2	0	0	0	0	710	0	0	0	0	25469840
1003-01_3	Consensus_3	0	0	0	0	744	0	0	0	0	25469840
1003-01_3	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	25469840
1003-01_3	Consensus_4	0	0	0	0	764	0	0	0	0	25469840
1003-01_3	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	25469840
1003-01_3	Consensus_5	0	0	0	0	728	0	0	0	0	25469840
1003-01_3	Consensus_6	0	0	0	0	745	0	0	0	0	25469840
1003-01_3	Consensus_7	0	0	0	0	716	0	0	0	0	25469840
1003-01_3	Consensus_8	0	0	0	0	700	0	0	0	0	25469840
1003-01_3	Consensus_9	0	0	0	0	825	0	0	0	0	25469840
1003-01_3	Consensus_10	0	0	0	0	796	0	0	0	0	25469840
1003-01_30	Consensus_1	0	0	0	0	691	0	0	0	0	19011302
1003-01_30	Consensus_2	0	0	0	0	710	0	0	0	0	19011302
1003-01_30	Consensus_3	0	0	0	0	744	0	0	0	0	19011302
1003-01_30	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	19011302
1003-01_30	Consensus_4	0	0	0	0	764	0	0	0	0	19011302
1003-01_30	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	19011302
1003-01_30	Consensus_5	0	0	0	0	728	0	0	0	0	19011302
1003-01_30	Consensus_6	0	0	0	0	745	0	0	0	0	19011302
1003-01_30	Consensus_7	0	0	0	0	716	0	0	0	0	19011302
1003-01_30	Consensus_8	0	0	0	0	700	0	0	0	0	19011302
1003-01_30	Consensus_9	0	0	0	0	825	0	0	0	0	19011302
1003-01_30	Consensus_10	0	0	0	0	796	0	0	0	0	19011302
1003-01_31	Consensus_1	0	0	0	0	691	0	0	0	0	25365092
1003-01_31	Consensus_2	0	0	0	0	710	0	0	0	0	25365092
1003-01_31	Consensus_3	0	0	0	0	744	0	0	0	0	25365092
1003-01_31	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	25365092
1003-01_31	Consensus_4	0	0	0	0	764	0	0	0	0	25365092
1003-01_31	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	25365092
1003-01_31	Consensus_5	0	0	0	0	728	0	0	0	0	25365092
1003-01_31	Consensus_6	0	0	0	0	745	0	0	0	0	25365092
1003-01_31	Consensus_7	0	0	0	0	716	0	0	0	0	25365092
1003-01_31	Consensus_8	0	0	0	0	700	0	0	0	0	25365092
1003-01_31	Consensus_9	0	0	0	0	825	0	0	0	0	25365092
1003-01_31	Consensus_10	0	0	0	0	796	0	0	0	0	25365092
1003-01_32	Consensus_1	0	0	0	0	691	0	0	0	0	23949650
1003-01_32	Consensus_2	0	0	0	0	710	0	0	0	0	23949650
1003-01_32	Consensus_3	0	0	0	0	744	0	0	0	0	23949650
1003-01_32	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	23949650
1003-01_32	Consensus_4	0	0	0	0	764	0	0	0	0	23949650
1003-01_32	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	23949650
1003-01_32	Consensus_5	0	0	0	0	728	0	0	0	0	23949650
1003-01_32	Consensus_6	0	0	0	0	745	0	0	0	0	23949650
1003-01_32	Consensus_7	0	0	0	0	716	0	0	0	0	23949650
1003-01_32	Consensus_8	0	0	0	0	700	0	0	0	0	23949650
1003-01_32	Consensus_9	0	0	0	0	825	0	0	0	0	23949650
1003-01_32	Consensus_10	0	0	0	0	796	0	0	0	0	23949650
1003-01_33	Consensus_1	0	0	0	0	691	0	0	0	0	27509788
1003-01_33	Consensus_2	0	0	0	0	710	0	0	0	0	27509788
1003-01_33	Consensus_3	0	0	0	0	744	0	0	0	0	27509788
1003-01_33	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	27509788
1003-01_33	Consensus_4	0	0	0	0	764	0	0	0	0	27509788
1003-01_33	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	27509788
1003-01_33	Consensus_5	0	0	0	0	728	0	0	0	0	27509788
1003-01_33	Consensus_6	0	0	0	0	745	0	0	0	0	27509788
1003-01_33	Consensus_7	0	0	0	0	716	0	0	0	0	27509788
1003-01_33	Consensus_8	0	0	0	0	700	0	0	0	0	27509788
1003-01_33	Consensus_9	0	0	0	0	825	0	0	0	0	27509788
1003-01_33	Consensus_10	0	0	0	0	796	0	0	0	0	27509788
1003-01_34	Consensus_1	0	0	0	0	691	0	0	0	0	23895296
1003-01_34	Consensus_2	0	0	0	0	710	0	0	0	0	23895296
1003-01_34	Consensus_3	0	0	0	0	744	0	0	0	0	23895296
1003-01_34	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	23895296
1003-01_34	Consensus_4	0	0	0	0	764	0	0	0	0	23895296
1003-01_34	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	23895296
1003-01_34	Consensus_5	0	0	0	0	728	0	0	0	0	23895296
1003-01_34	Consensus_6	0	0	0	0	745	0	0	0	0	23895296
1003-01_34	Consensus_7	0	0	0	0	716	0	0	0	0	23895296
1003-01_34	Consensus_8	0	0	0	0	700	0	0	0	0	23895296
1003-01_34	Consensus_9	0	0	0	0	825	0	0	0	0	23895296
1003-01_34	Consensus_10	0	0	0	0	796	0	0	0	0	23895296
1003-01_35	Consensus_1	0	0	0	0	691	0	0	0	0	21116344
1003-01_35	Consensus_2	0	0	0	0	710	0	0	0	0	21116344
1003-01_35	Consensus_3	0	0	0	0	744	0	0	0	0	21116344
1003-01_35	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	21116344
1003-01_35	Consensus_4	0	0	0	0	764	0	0	0	0	21116344
1003-01_35	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	21116344
1003-01_35	Consensus_5	0	0	0	0	728	0	0	0	0	21116344
1003-01_35	Consensus_6	0	0	0	0	745	0	0	0	0	21116344
1003-01_35	Consensus_7	0	0	0	0	716	0	0	0	0	21116344
1003-01_35	Consensus_8	0	0	0	0	700	0	0	0	0	21116344
1003-01_35	Consensus_9	0	0	0	0	825	0	0	0	0	21116344
1003-01_35	Consensus_10	0	0	0	0	796	0	0	0	0	21116344
1003-01_36	Consensus_1	0	0	0	0	691	0	0	0	0	19951434
1003-01_36	Consensus_2	0	0	0	0	710	0	0	0	0	19951434
1003-01_36	Consensus_3	0	0	0	0	744	0	0	0	0	19951434
1003-01_36	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	19951434
1003-01_36	Consensus_4	0	0	0	0	764	0	0	0	0	19951434
1003-01_36	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	19951434
1003-01_36	Consensus_5	0	0	0	0	728	0	0	0	0	19951434
1003-01_36	Consensus_6	0	0	0	0	745	0	0	0	0	19951434
1003-01_36	Consensus_7	0	0	0	0	716	0	0	0	0	19951434
1003-01_36	Consensus_8	0	0	0	0	700	0	0	0	0	19951434
1003-01_36	Consensus_9	0	0	0	0	825	0	0	0	0	19951434
1003-01_36	Consensus_10	0	0	0	0	796	0	0	0	0	19951434
1003-01_37	Consensus_1	0	0	0	0	691	0	0	0	0	22120746
1003-01_37	Consensus_2	0	0	0	0	710	0	0	0	0	22120746
1003-01_37	Consensus_3	0	0	0	0	744	0	0	0	0	22120746
1003-01_37	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	22120746
1003-01_37	Consensus_4	0	0	0	0	764	0	0	0	0	22120746
1003-01_37	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	22120746
1003-01_37	Consensus_5	0	0	0	0	728	0	0	0	0	22120746
1003-01_37	Consensus_6	0	0	0	0	745	0	0	0	0	22120746
1003-01_37	Consensus_7	0	0	0	0	716	0	0	0	0	22120746
1003-01_37	Consensus_8	0	0	0	0	700	0	0	0	0	22120746
1003-01_37	Consensus_9	0	0	0	0	825	0	0	0	0	22120746
1003-01_37	Consensus_10	0	0	0	0	796	0	0	0	0	22120746
1003-01_38	Consensus_1	0	0	0	0	691	0	0	0	0	12975030
1003-01_38	Consensus_2	0	0	0	0	710	0	0	0	0	12975030
1003-01_38	Consensus_3	0	0	0	0	744	0	0	0	0	12975030
1003-01_38	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	12975030
1003-01_38	Consensus_4	0	0	0	0	764	0	0	0	0	12975030
1003-01_38	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	12975030
1003-01_38	Consensus_5	0	0	0	0	728	0	0	0	0	12975030
1003-01_38	Consensus_6	0	0	0	0	745	0	0	0	0	12975030
1003-01_38	Consensus_7	0	0	0	0	716	0	0	0	0	12975030
1003-01_38	Consensus_8	0	0	0	0	700	0	0	0	0	12975030
1003-01_38	Consensus_9	0	0	0	0	825	0	0	0	0	12975030
1003-01_38	Consensus_10	0	0	0	0	796	0	0	0	0	12975030
1003-01_39	Consensus_1	0	0	0	0	691	0	0	0	0	19735410
1003-01_39	Consensus_2	0	0	0	0	710	0	0	0	0	19735410
1003-01_39	Consensus_3	0	0	0	0	744	0	0	0	0	19735410
1003-01_39	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	19735410
1003-01_39	Consensus_4	0	0	0	0	764	0	0	0	0	19735410
1003-01_39	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	19735410
1003-01_39	Consensus_5	0	0	0	0	728	0	0	0	0	19735410
1003-01_39	Consensus_6	0	0	0	0	745	0	0	0	0	19735410
1003-01_39	Consensus_7	0	0	0	0	716	0	0	0	0	19735410
1003-01_39	Consensus_8	0	0	0	0	700	0	0	0	0	19735410
1003-01_39	Consensus_9	0	0	0	0	825	0	0	0	0	19735410
1003-01_39	Consensus_10	0	0	0	0	796	0	0	0	0	19735410
1003-01_4	Consensus_1	0	0	0	0	691	0	0	0	0	13555946
1003-01_4	Consensus_2	0	0	0	0	710	0	0	0	0	13555946
1003-01_4	Consensus_3	0	0	0	0	744	0	0	0	0	13555946
1003-01_4	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	13555946
1003-01_4	Consensus_4	0	0	0	0	764	0	0	0	0	13555946
