Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_163_1003-01_16	S1C1003_01724_vs01_163	1.5185186	1.4735812	510	1.8932077	717	8	0.011157601	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_16	S1C1003_01724_vs01_68	1.822695	1.6515749	435	4.0502124	714	9	0.012605042	1400560.1	1000000
S1C1003_01336_vs01_36_1003-01_16	S1C1003_01336_vs01_36	44.717545	44.715954	716	101.51406	720	220	0.30555555	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_16	S1C1003_011133_vs01_15	5.641711	5.572277	559	14.076757	711	25	0.035161745	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_34	S1C1003_01724_vs01_168	3.7789662	3.7564356	641	3.7974854	711	23	0.032348804	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_34	S1C1003_01724_vs01_163	6.176367	6.2348337	602	10.965306	717	27	0.037656903	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_34	S1C1003_01724_vs01_68	4.1897163	4.1200786	697	4.939077	714	22	0.030812325	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_34	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_34	S1C1003_011133_vs01_15	11.622104	11.528713	711	13.685512	711	58	0.081575245	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_28	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_163_1003-01_28	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01724_vs01_68_1003-01_28	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01336_vs01_36_1003-01_28	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_28	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_42	S1C1003_01724_vs01_168	5.098039	5.2138615	591	4.474299	711	25	0.035161745	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_42	S1C1003_01724_vs01_163	4.6772485	4.6086106	643	7.1942344	717	21	0.029288704	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_42	S1C1003_01724_vs01_68	5.97695	6.0334644	679	8.534103	714	32	0.04481793	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_42	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_42	S1C1003_011133_vs01_15	10.679145	10.376238	689	32.364727	711	54	0.07594936	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_17	S1C1003_01724_vs01_168	2.7165775	2.6435645	537	4.7463145	711	12	0.016877636	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_17	S1C1003_01724_vs01_163	3.8430336	3.8727984	658	1.8428088	717	19	0.026499303	1394700.3	1000000
S1C1003_01724_vs01_68_1003-01_17	S1C1003_01724_vs01_68	4.037234	4.0039372	701	4.3911514	714	20	0.028011205	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_17	S1C1003_01336_vs01_36	33.801754	34.007782	711	48.120552	720	158	0.21944444	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_17	S1C1003_011133_vs01_15	8.648841	8.69703	698	18.403257	711	38	0.05344585	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_15	S1C1003_01724_vs01_168	3.9928699	3.7940595	650	11.792807	711	24	0.033755273	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_15	S1C1003_01724_vs01_163	6.9753084	7.0097847	713	8.123064	717	34	0.047419805	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_15	S1C1003_01724_vs01_68	7.684397	7.6909447	699	7.4810343	714	43	0.06022409	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_15	S1C1003_01336_vs01_36	53.521053	53.79572	719	187.9442	720	273	0.37916666	1388889	1000000
S1C1003_011133_vs01_15_1003-01_15	S1C1003_011133_vs01_15	12.853832	12.772277	699	11.53931	711	63	0.088607594	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_2	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_163_1003-01_2	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01724_vs01_68_1003-01_2	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01336_vs01_36_1003-01_2	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_2	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_20	S1C1003_01724_vs01_168	1.5222816	1.4792079	509	0.97137755	711	6	0.008438818	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_20	S1C1003_01724_vs01_163	1.3580247	1.3033268	399	1.2231821	717	6	0.008368201	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_20	S1C1003_01724_vs01_68	1.8280141	1.8169291	614	1.3717893	714	9	0.012605042	1400560.1	1000000
S1C1003_01336_vs01_36_1003-01_20	S1C1003_01336_vs01_36	72.33509	73.17704	719	168.70474	720	349	0.48472223	1388889	1000000
S1C1003_011133_vs01_15_1003-01_20	S1C1003_011133_vs01_15	2.3975046	2.380198	608	2.354208	711	13	0.018284107	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_7	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_163_1003-01_7	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01724_vs01_68_1003-01_7	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01336_vs01_36_1003-01_7	S1C1003_01336_vs01_36	0.5263158	0.52140075	295	0.26732033	720	2	0.0027777778	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_7	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_41	S1C1003_01724_vs01_168	9.6167555	9.643564	665	6.833219	711	47	0.06610408	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_41	S1C1003_01724_vs01_163	6.728395	6.632094	688	8.381931	717	32	0.044630405	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_41	S1C1003_01724_vs01_68	9.230496	9.163385	711	31.985853	714	47	0.065826334	1400560.1	1000000
S1C1003_01336_vs01_36_1003-01_41	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_41	S1C1003_011133_vs01_15	17.950089	17.914852	695	18.836796	711	86	0.1209564	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_51	S1C1003_01724_vs01_168	3.8235295	3.659406	469	12.827731	711	20	0.028129395	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_51	S1C1003_01724_vs01_163	4.6384478	4.51272	514	12.602264	717	21	0.029288704	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_51	S1C1003_01724_vs01_68	3.9397163	3.78937	579	10.994583	714	21	0.029411765	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_51	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_51	S1C1003_011133_vs01_15	3.836007	3.780198	653	9.487345	711	24	0.033755273	1406469.9	1000000
S1C1003_01724_vs01_168_1003-01_14	S1C1003_01724_vs01_168	8.486631	7.8237624	689	54.046696	711	49	0.06891702	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_14	S1C1003_01724_vs01_163	9.8359785	9.863013	658	9.370576	717	48	0.066945605	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_14	S1C1003_01724_vs01_68	11.693262	11.32874	691	42.41552	714	61	0.085434176	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_14	S1C1003_01336_vs01_36	3.1912282	3.1653697	646	1.7085347	720	14	0.019444445	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_14	S1C1003_011133_vs01_15	20.426025	20.390099	689	31.227106	711	108	0.15189873	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_18	S1C1003_01724_vs01_168	0.91800356	0.9128713	419	0.596836	711	4	0.005625879	1406469.8	1000000
